agency_id,agency_name,agency_url,agency_timezone,agency_lang
331,Halberstädter Verkehrs-GmbH,https://www.bahn.de,Europe/Berlin,de
332,Saarbahn GmbH,https://www.bahn.de,Europe/Berlin,de
333,Regionale Verkehrsbetriebe Schaffhausen,https://www.bahn.de,Europe/Berlin,de
334,Verkehrsgemeinschaft Schwäbisch Hall,https://www.bahn.de,Europe/Berlin,de
335,Ilchmann Tours GmbH,https://www.bahn.de,Europe/Berlin,de
336,S Bahn Berlin GmbH,https://www.bahn.de,Europe/Berlin,de
337,Lüchow-Schmarsauer Eisenbahn,https://www.bahn.de,Europe/Berlin,de
338,LNVG-GG,https://www.bahn.de,Europe/Berlin,de
339,Merseburg Querfurt,https://www.bahn.de,Europe/Berlin,de
34,Fähren,https://www.bahn.de,Europe/Berlin,de
340,Hagener Straßenbahn AG,https://www.bahn.de,Europe/Berlin,de
341,Uckermärkische VG,https://www.bahn.de,Europe/Berlin,de
342,O.K. Reisen - Kleinhenz GmbH,https://www.bahn.de,Europe/Berlin,de
343,Aktiv Bus Flensburg,https://www.bahn.de,Europe/Berlin,de
344,Verkehrsverbund Hegau Bodensee,https://www.bahn.de,Europe/Berlin,de
345,Südwestdeutsche Verkehrs-AG,https://www.bahn.de,Europe/Berlin,de
346,BusClassic / Weiglein,https://www.bahn.de,Europe/Berlin,de
35,Omnibusverkehr Franken,https://www.bahn.de,Europe/Berlin,de
36,Dafinger GmbH Omnibusunternehmen,https://www.bahn.de,Europe/Berlin,de
37,MittelSachsen,https://www.bahn.de,Europe/Berlin,de
38,Tarifverb Region Braunschweig,https://www.bahn.de,Europe/Berlin,de
39,Fahrplaneditor,https://www.bahn.de,Europe/Berlin,de
4,WSW mobil GmbH,https://www.bahn.de,Europe/Berlin,de
40,JANßen Omnibusbetrieb,https://www.bahn.de,Europe/Berlin,de
41,LK Hameln-Pyrmont,https://www.bahn.de,Europe/Berlin,de
42,Omnibusverkehr GmbH Ilmenau,https://www.iov-ilmenau.de,Europe/Berlin,de
43,PVG Burgenlandkreis,https://www.bahn.de,Europe/Berlin,de
44,NJL,https://www.bahn.de,Europe/Berlin,de
45,Nichtbundeseigene Eisenbahnen,https://www.bahn.de,Europe/Berlin,de
46,Gesellschaft zur Förderung des ÖPNV Regensburg,https://www.bahn.de,Europe/Berlin,de
47,Verkehrsgesellschaft Nordvorpommern,https://www.bahn.de,Europe/Berlin,de
48,DB Regio AG Mitte Region Hessen,https://www.bahn.de,Europe/Berlin,de
49,KVG MKK direkt,https://www.bahn.de,Europe/Berlin,de
5,Hamburger Verkehrsverbund,https://www.bahn.de,Europe/Berlin,de
50,Hessische Landesbahn,https://www.bahn.de,Europe/Berlin,de
51,THÜSACneu,https://www.bahn.de,Europe/Berlin,de
52,HEAG,https://www.bahn.de,Europe/Berlin,de
53,Göttinger Verkehrsbetriebe,https://www.bahn.de,Europe/Berlin,de
54,Grasmann-Reisen GmbH,https://www.bahn.de,Europe/Berlin,de
55,SNCF,https://www.bahn.de,Europe/Berlin,de
56,Mitteldeutsche Regiobahn,https://www.bahn.de,Europe/Berlin,de
57,NEW mobil und aktiv Mönchengladbach GmbH,https://www.bahn.de,Europe/Berlin,de
58,Saar-Mobil GmbH,https://www.bahn.de,Europe/Berlin,de
59,Norddeutsche Eisenbahn Gesellschaft,https://www.bahn.de,Europe/Berlin,de
6,DB RegioBus Bayern,https://www.bahn.de,Europe/Berlin,de
60,RheinRuhrBahn,https://www.bahn.de,Europe/Berlin,de
61,Omnibus-Service Mellrichstadt,https://www.bahn.de,Europe/Berlin,de
62,"Omnibus Verkehrs Gesellschaft mbH Sonneberg/Thür,",https://www.bahn.de,Europe/Berlin,de
63,NEB Niederbarnimer Eisenbahn,https://www.bahn.de,Europe/Berlin,de
64,Vetter Verkehrsbetriebe,https://www.bahn.de,Europe/Berlin,de
